

Starting up. (ID: cqd-aVuP) 01:03.34
---------------------
[01:03:34] cqd-aVuP MISC: Saved storyteller is 'healer'
[01:03:34] cqd-aVuP ADMIN: Loading jobban_rank
[01:03:34] cqd-aVuP ADMIN: jobban_keylist was empty
[01:03:34] cqd-aVuP ADMIN: Loading Banlist
[01:05:24] cqd-aVuP ADMIN: Sybil Alliman try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Sybil Alliman try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Sybil Alliman try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Sybil Alliman try find_inv_position a 12, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Zane Pinney try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Zane Pinney try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Zane Pinney try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Zane Pinney try find_inv_position a 12, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Reid Werner try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Reid Werner try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Reid Werner try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Reid Werner try find_inv_position a 12, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Brayden Laborde try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Brayden Laborde try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Brayden Laborde try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Brayden Laborde try find_inv_position a 12, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Rocco Stall try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Rocco Stall try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Rocco Stall try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Rocco Stall try find_inv_position a 12, but not have that slot!
[01:05:25] cqd-aVuP ADMIN: Sam Evans try find_inv_position a 14, but not have that slot!
[01:05:25] cqd-aVuP ADMIN: Sam Evans try find_inv_position a 11, but not have that slot!
[01:05:25] cqd-aVuP ADMIN: Sam Evans try find_inv_position a 13, but not have that slot!
[01:05:25] cqd-aVuP ADMIN: Sam Evans try find_inv_position a 12, but not have that slot!
[01:10:09] cqd-aVuP GAME: garden loaded at at 106,65,20
[01:10:10] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 106,56,20
[01:10:11] cqd-aVuP GAME: showers loaded at at 93,56,20
[01:10:11] cqd-aVuP GAME: Hallway_4way loaded at at 80,56,20
[01:10:11] cqd-aVuP GAME: hallwayatmos_west-east loaded at at 67,56,20
[01:10:12] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 54,56,20
[01:10:12] cqd-aVuP GAME: garden loaded at at 54,47,20
[01:10:13] cqd-aVuP GAME: crematorium loaded at at 67,47,20
[01:10:13] cqd-aVuP GAME: showers loaded at at 80,47,20
[01:10:13] cqd-aVuP GAME: secure_storage_horizontal loaded at at 93,47,20
[01:10:14] cqd-aVuP GAME: secure_storage_horizontal loaded at at 106,47,20
[01:10:14] cqd-aVuP GAME: garden loaded at at 119,47,20
[01:10:15] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 132,47,20
[01:10:15] cqd-aVuP GAME: garden loaded at at 145,47,20
[01:10:15] cqd-aVuP GAME: garden loaded at at 158,47,20
[01:10:16] cqd-aVuP GAME: garden loaded at at 171,47,20
[01:10:16] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 184,47,20
[01:10:17] cqd-aVuP GAME: crematorium loaded at at 197,47,20
[01:10:18] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 197,38,20
[01:10:18] cqd-aVuP GAME: checkpoint_horizontal loaded at at 184,38,20
[01:10:19] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 171,38,20
[01:10:19] cqd-aVuP GAME: checkpoint_vertical loaded at at 171,29,20
[01:10:19] cqd-aVuP GAME: Hallway_4way loaded at at 171,20,20
[01:10:20] cqd-aVuP GAME: hallwayatmos_west-east loaded at at 158,20,20
[01:10:20] cqd-aVuP GAME: Hallway_4way loaded at at 145,20,20
[01:10:21] cqd-aVuP GAME: crematorium loaded at at 132,20,20
[01:10:21] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 119,20,20
[01:10:22] cqd-aVuP GAME: archive loaded at at 106,73,21
[01:10:22] cqd-aVuP GAME: maintenance asteroid loaded at at 44,45,21
[01:10:22] cqd-aVuP GAME: dinner loaded at at 34,104,21
[01:10:23] cqd-aVuP GAME: lab5 loaded at at 115,43,21
[01:10:23] cqd-aVuP GAME: medbay loaded at at 71,90,21
[01:10:24] cqd-aVuP GAME: Lab2 loaded at at 107,97,21
[01:10:24] cqd-aVuP GAME: crematorium loaded at at 106,20,20
[01:10:25] cqd-aVuP GAME: Hallway_4way loaded at at 106,11,20
[01:10:27] cqd-aVuP GAME: garden loaded at at 93,11,20
[01:10:28] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 93,2,20
[01:10:29] cqd-aVuP GAME: Escape_Pod_West-East loaded at at 106,2,20
[01:10:29] cqd-aVuP GAME: hallwayatmos_west-east loaded at at 119,2,20
[01:10:29] cqd-aVuP GAME: Hallway_4way loaded at at 132,2,20
[01:10:30] cqd-aVuP GAME: showers loaded at at 145,2,20
[01:10:30] cqd-aVuP GAME: Hallway_4way loaded at at 158,2,20
[01:10:30] cqd-aVuP GAME: secure_storage_horizontal loaded at at 171,2,20
[01:10:31] cqd-aVuP GAME: Hallway_4way loaded at at 184,2,20
[01:10:31] cqd-aVuP GAME: Exit - 1 loaded at at 197,2,20
[01:10:57] cqd-aVuP GAME: armory_secure loaded at at 119,11,20
[01:10:57] cqd-aVuP GAME: mechbay loaded at at 93,101,20
[01:11:00] cqd-aVuP GAME: armory loaded at at 2,119,20
[01:11:01] cqd-aVuP GAME: shooting_range loaded at at 171,11,20
[01:11:04] cqd-aVuP GAME: office loaded at at 41,47,20
[01:11:05] cqd-aVuP GAME: shooting_range loaded at at 171,110,20
[01:11:06] cqd-aVuP GAME: armory loaded at at 28,119,20
[01:11:07] cqd-aVuP GAME: commanderoffice loaded at at 158,38,20
[01:11:09] cqd-aVuP GAME: shooting_range loaded at at 67,38,20
[01:11:10] cqd-aVuP GAME: shooting_range loaded at at 158,128,20
[01:11:10] cqd-aVuP GAME: shooting_range loaded at at 119,83,20
[01:11:15] cqd-aVuP GAME: cargo_vertical loaded at at 158,110,20
[01:11:18] cqd-aVuP GAME: shooting_range loaded at at 119,56,20
[01:11:18] cqd-aVuP GAME: armory loaded at at 197,128,20
